date_transformed,site_number,TSP,CM,SD,NO2,OZ,PM10,PM2.5
2021-05-07,1017,NA,0.4238095,NA,10.136364,NA,NA,8.5
2021-05-07,1022,NA,0.1978335,0.0093798,3.238095,0.04364675,19,8.2
2021-05-08,1017,NA,0.413889,NA,7.409091,NA,NA,NA
2021-05-08,1022,NA,0.19559500000000002,0.0208972,2.904762,0.04515375,NA,11
2021-05-09,1017,NA,0.414962,NA,6,NA,NA,NA
2021-05-09,1022,NA,0.2027855,0.0204192,2.666667,0.044444750000000005,NA,13.8
2021-05-10,1017,NA,0.431389,NA,13.47619,NA,NA,10.8
2021-05-10,1022,NA,0.1967855,0,2.857143,0.044720499999999996,26,10.8
2021-05-11,1017,NA,0.424603,NA,10.227273,NA,NA,NA
2021-05-11,1022,NA,0.214619,0.0116772,4.142857,0.04205175,NA,9.9
2021-05-12,1017,NA,0.4420635,NA,10.681818,NA,NA,NA
2021-05-12,1022,NA,0.2369605,8.16e-5,4.285714,0.045256,NA,9.7
2021-05-13,1017,NA,0.436111,NA,11.473684,NA,NA,9
2021-05-13,1022,NA,0.228389,0.004978,3.285714,0.05010925,23,8.7
2021-05-14,1017,NA,0.406111,NA,8.571429,NA,NA,NA
2021-05-14,1022,NA,0.207881,4.78e-4,3.095238,0.0494525,NA,8
2021-05-15,1017,NA,0.4289685,NA,7.772727,NA,NA,NA
2021-05-15,1022,NA,0.176452,6.374e-4,2,0.0444715,NA,6
2021-05-16,1017,NA,0.382197,NA,6.818182,NA,NA,NA
2021-05-16,1022,NA,0.1801665,3.984e-4,1.809524,0.04500325,NA,NA
2021-05-17,1017,NA,0.40599450000000004,NA,10.368421,NA,NA,NA
2021-05-17,1022,NA,0.18695250000000002,7.960000000000001e-5,3.285714,0.041002000000000004,NA,3
2021-05-18,1017,NA,0.4242065,NA,9.363636,NA,NA,NA
2021-05-18,1022,NA,0.1985,8.763999999999999e-4,3.333333,0.042609,NA,4.7
2021-05-19,1017,NA,0.413889,NA,10.318182,NA,NA,9.1
2021-05-19,1022,NA,0.214627,0.0652874,3.142857,0.042671249999999994,24,9.1
2021-05-20,1017,NA,0.368889,NA,11.380952,NA,NA,NA
2021-05-20,1022,NA,0.1790855,0.00314075,2.368421,0.043342,NA,11.7
2021-05-21,1017,NA,0.380159,NA,7.75,NA,NA,NA
2021-05-21,1022,NA,0.17175,0.0240748,2.5,0.041771,NA,12
2021-05-22,1017,NA,0.420635,NA,7.909091,NA,NA,9
2021-05-22,1022,NA,0.18880950000000002,0.0044545999999999995,2.761905,0.04014175,26,9.2
2021-05-23,1017,NA,0.4676135,NA,7.863636,NA,NA,NA
2021-05-23,1022,NA,0.1954525,0.0891992,2.761905,0.04164825,NA,9
2021-05-24,1017,NA,0.590079,NA,17.181818,NA,NA,NA
2021-05-24,1022,NA,0.2327775,0.1155742,5.857143,0.041085000000000003,NA,9.1
2021-05-25,1017,NA,0.5579365000000001,NA,17.863636,NA,NA,9.9
2021-05-25,1022,NA,0.282536,0.1727422,7.761905,0.043158749999999996,27,10.7
2021-05-26,1017,NA,0.388125,NA,9.705882,NA,NA,NA
